rank,country,peak,elev_m,peak_url,title,lat_lon,photo_url
1,China,Mount Everest,8849,https://www.peakbagger.com/peak.aspx?pid=10640,"Mount Everest, China/Nepal","27.988257, 86.925145",https://www.peakbagger.com/image/amazontiny.gif
1,China,Mount Everest,8849,https://www.peakbagger.com/peak.aspx?pid=10640,"Mount Everest, China/Nepal","27.988257, 86.925145",https://www.peakbagger.com/image/amazontiny.gif
1,Nepal,Mount Everest,8849,https://www.peakbagger.com/peak.aspx?pid=10640,"Mount Everest, China/Nepal","27.988257, 86.925145",https://www.peakbagger.com/image/amazontiny.gif
3,Pakistan,K2,8614,https://www.peakbagger.com/peak.aspx?pid=10515,"K2, Pakistan/China","35.881612, 76.512738",https://www.peakbagger.com/image/amazontiny.gif
4,India,Kangchenjunga,8586,https://www.peakbagger.com/peak.aspx?pid=10653,"Kangchenjunga, Nepal/India","27.702907, 88.147394",https://www.peakbagger.com/image/amazontiny.gif
5,Bhutan,Gangkar Punsum,7570,https://www.peakbagger.com/peak.aspx?pid=18686,"Gangkar Punsum, China/Bhutan","28.047359, 90.454878",
6,Tajikistan,Pik Ismail Samani,7495,https://www.peakbagger.com/peak.aspx?pid=10496,"Pik Ismail Samani, Tajikistan","38.943109, 72.01571",https://www.peakbagger.com/image/Suc.gif
7,Afghanistan,Noshaq,7492,https://www.peakbagger.com/peak.aspx?pid=10491,"Noshaq, Afghanistan/Pakistan","36.433078, 71.82832",https://www.peakbagger.com/image/Suc.gif
8,Kyrgyzstan,Pik Pobeda,7439,https://www.peakbagger.com/peak.aspx?pid=10565,"Pik Pobeda, Kyrgyzstan/China","42.035293, 80.128377",https://www.peakbagger.com/image/Suc.gif
9,Kazakhstan,Khan Tengri,7010,https://www.peakbagger.com/peak.aspx?pid=10552,"Khan Tengri, Kazakhstan/Kyrgyzstan/China","42.21094, 80.174286",https://www.peakbagger.com/image/Suc.gif
10,Argentina,Aconcagua,6962,https://www.peakbagger.com/peak.aspx?pid=8594,"Aconcagua, Argentina","-32.653099, -70.012088",https://www.peakbagger.com/image/amazontiny.gif
11,Chile,Ojos del Salado,6893,https://www.peakbagger.com/peak.aspx?pid=8569,"Ojos del Salado, Chile/Argentina","-27.109671, -68.54257",https://www.peakbagger.com/image/amazontiny.gif
12,Peru,Nevado Huascarán,6768,https://www.peakbagger.com/peak.aspx?pid=8465,"Nevado Huascarán, Peru","-9.120981, -77.604674",https://www.peakbagger.com/image/amazontiny.gif
13,Bolivia,Nevado Sajama,6542,https://www.peakbagger.com/peak.aspx?pid=8503,"Nevado Sajama, Bolivia","-18.107836, -68.882937",https://www.peakbagger.com/image/amazontiny.gif
14,Ecuador,Volcán Chimborazo,6267,https://www.peakbagger.com/peak.aspx?pid=8400,"Volcán Chimborazo, Ecuador","-1.467064, -78.817499",https://www.peakbagger.com/image/amazontiny.gif
15,United States,Denali,6190,https://www.peakbagger.com/peak.aspx?pid=271,"Denali, Alaska","63.069042, -151.006347",https://www.peakbagger.com/image/amazontiny.gif
16,Canada,Mount Logan,5959,https://www.peakbagger.com/peak.aspx?pid=541,"Mount Logan, Yukon Territory","60.567113, -140.405484",https://www.peakbagger.com/image/amazontiny.gif
17,Tanzania,Kilimanjaro,5895,https://www.peakbagger.com/peak.aspx?pid=11202,"Kilimanjaro, Tanzania","-3.076448, 37.354034",https://www.peakbagger.com/image/Suc.gif
18,Myanmar,Hkakabo Razi,5881,https://www.peakbagger.com/peak.aspx?pid=10595,"Hkakabo Razi, Myanmar","28.328107, 97.534389",
19,Colombia,Pico Simón Bolívar,5720,https://www.peakbagger.com/peak.aspx?pid=8289,"Pico Simón Bolívar, Colombia","10.834718, -73.690453",https://www.peakbagger.com/image/UnSuc.gif
20,Russia,Elbrus,5642,https://www.peakbagger.com/peak.aspx?pid=10381,"Elbrus, Russia","43.353811, 42.436098",https://www.peakbagger.com/image/amazontiny.gif
21,Mexico,Pico de Orizaba,5636,https://www.peakbagger.com/peak.aspx?pid=8049,"Pico de Orizaba, Mexico","19.030498, -97.269848",https://www.peakbagger.com/image/amazontiny.gif
22,Iran,Damavand,5609,https://www.peakbagger.com/peak.aspx?pid=10467,"Damavand, Iran","35.955533, 52.110085",https://www.peakbagger.com/image/Suc.gif
23,Kenya,Mount Kenya,5199,https://www.peakbagger.com/peak.aspx?pid=11193,"Mount Kenya, Kenya","-0.152267, 37.308885",https://www.peakbagger.com/image/amazontiny.gif
24,Georgia,Shkhara,5193,https://www.peakbagger.com/peak.aspx?pid=10416,"Shkhara, Russia/Georgia","42.999969, 43.109819",https://www.peakbagger.com/image/UnSuc.gif
25,Turkey,Mount Ararat,5137,https://www.peakbagger.com/peak.aspx?pid=10445,"Mount Ararat, Turkey","39.703475, 44.298765",https://www.peakbagger.com/image/amazontiny.gif
26,Congo DRC,Mount Stanley,5109,https://www.peakbagger.com/peak.aspx?pid=11158,"Mount Stanley, Congo DRC/Uganda","0.385466, 29.873188",https://www.peakbagger.com/image/amazontiny.gif
26,Uganda,Mount Stanley,5109,https://www.peakbagger.com/peak.aspx?pid=11158,"Mount Stanley, Congo DRC/Uganda","0.385466, 29.873188",https://www.peakbagger.com/image/amazontiny.gif
28,Venezuela,Pico Bolívar,4981,https://www.peakbagger.com/peak.aspx?pid=8344,"Pico Bolívar, Venezuela","8.540899, -71.046462",https://www.peakbagger.com/image/Suc.gif
29,Antarctica,Vinson Massif,4892,https://www.peakbagger.com/peak.aspx?pid=12108,"Vinson Massif, Antarctica","-78.525483, -85.617147",https://www.peakbagger.com/image/Suc.gif
30,Indonesia,Carstensz Pyramid,4884,https://www.peakbagger.com/peak.aspx?pid=11360,"Carstensz Pyramid, Indonesia","-4.078531, 137.158077",https://www.peakbagger.com/image/amazontiny.gif
31,France,Mont Blanc,4810,https://www.peakbagger.com/peak.aspx?pid=9941,"Mont Blanc, France/Italy","45.832704, 6.864797",https://www.peakbagger.com/image/amazontiny.gif
31,Italy,Mont Blanc,4810,https://www.peakbagger.com/peak.aspx?pid=9941,"Mont Blanc, France/Italy","45.832704, 6.864797",https://www.peakbagger.com/image/amazontiny.gif
33,Uzbekistan,Alpomish,4668,https://www.peakbagger.com/peak.aspx?pid=130621,"Alpomish, Uzbekistan/Tajikistan","38.891634, 68.176775",https://www.peakbagger.com/image/Suc.gif
34,Switzerland,Monte Rosa,4633,https://www.peakbagger.com/peak.aspx?pid=10043,"Monte Rosa, Switzerland","45.93691, 7.86677",https://www.peakbagger.com/image/amazontiny.gif
35,Ethiopia,Ras Dashen,4543,https://www.peakbagger.com/peak.aspx?pid=11117,"Ras Dashen, Ethiopia","13.23692, 38.37264",https://www.peakbagger.com/image/Suc.gif
36,Papua New Guinea,Mount Wilhelm,4509,https://www.peakbagger.com/peak.aspx?pid=11369,"Mount Wilhelm, Papua New Guinea","-5.77959, 145.02917",https://www.peakbagger.com/image/Suc.gif
37,Rwanda,Volcan Karisimbi,4507,https://www.peakbagger.com/peak.aspx?pid=11172,"Volcan Karisimbi, Congo DRC/Rwanda","-1.506085, 29.450323",https://www.peakbagger.com/image/UnSuc.gif
38,Azerbaijan,Bazardüzü,4466,https://www.peakbagger.com/peak.aspx?pid=10428,"Bazardüzü, Russia/Azerbaijan","41.22075, 47.85816",https://www.peakbagger.com/image/Suc.gif
39,Mongolia,Khüiten Uul,4356,https://www.peakbagger.com/peak.aspx?pid=10690,"Khüiten Uul, China/Mongolia","49.14669, 87.81926",https://www.peakbagger.com/image/amazontiny.gif
40,Guatemala,Volcán Tajumulco,4220,https://www.peakbagger.com/peak.aspx?pid=8079,"Volcán Tajumulco, Guatemala","15.04303, -91.90367",https://www.peakbagger.com/image/amazontiny.gif
41,Morocco,Jebel Toubkal,4167,https://www.peakbagger.com/peak.aspx?pid=11046,"Jebel Toubkal, Morocco","31.060297, -7.915258",https://www.peakbagger.com/image/Suc.gif
42,Malaysia,Kinabalu,4095,https://www.peakbagger.com/peak.aspx?pid=10966,"Kinabalu, Malaysia","6.074985, 116.558313",https://www.peakbagger.com/image/Suc.gif
43,Armenia,Aragats Lerr,4090,https://www.peakbagger.com/peak.aspx?pid=10432,"Aragats Lerr, Armenia","40.523056, 44.195377",https://www.peakbagger.com/image/Suc.gif
44,Cameroon,Mount Cameroon,4040,https://www.peakbagger.com/peak.aspx?pid=11099,"Mount Cameroon, Cameroon","4.218203, 9.173201",https://www.peakbagger.com/image/Suc.gif
45,Taiwan,Yushan,3951,https://www.peakbagger.com/peak.aspx?pid=10720,"Yushan, Taiwan","23.469991, 120.957265",https://www.peakbagger.com/image/Suc.gif
46,Costa Rica,Cerro Chirripó,3819,https://www.peakbagger.com/peak.aspx?pid=8168,"Cerro Chirripó, Costa Rica","9.484296, -83.488921",https://www.peakbagger.com/image/amazontiny.gif
47,Austria,Großglockner,3797,https://www.peakbagger.com/peak.aspx?pid=10113,"Großglockner, Austria","47.07454, 12.69387",https://www.peakbagger.com/image/amazontiny.gif
48,Japan,Fuji-san,3776,https://www.peakbagger.com/peak.aspx?pid=10882,"Fuji-san, Japan","35.360638, 138.727347",https://www.peakbagger.com/image/Suc.gif
49,New Zealand,Mount Cook,3724,https://www.peakbagger.com/peak.aspx?pid=11737,"Mount Cook, New Zealand","-43.595008, 170.14212",https://www.peakbagger.com/image/amazontiny.gif
50,Spain,Pico de Teide,3715,https://www.peakbagger.com/peak.aspx?pid=11300,"Pico de Teide, Spain","28.27277, -16.64233",https://www.peakbagger.com/image/amazontiny.gif
51,Greenland,Gunnbjørn Fjeld,3694,https://www.peakbagger.com/peak.aspx?pid=719,"Gunnbjørn Fjeld, Greenland","68.918173, -29.898692",https://www.peakbagger.com/image/Suc.gif
52,Yemen,Jabal an Nabi Shu'ayb,3666,https://www.peakbagger.com/peak.aspx?pid=10477,"Jabal an Nabi Shu'ayb, Yemen","15.2802, 43.978045",https://www.peakbagger.com/image/UnSuc.gif
53,Iraq,Cheekha Dar,3611,https://www.peakbagger.com/peak.aspx?pid=13186,"Cheekha Dar, Iran/Iraq","36.776705, 44.918633",
54,Lesotho,Thabana Ntlenyana,3482,https://www.peakbagger.com/peak.aspx?pid=11261,"Thabana Ntlenyana, Lesotho","-29.468138, 29.269186",https://www.peakbagger.com/image/Suc.gif
55,Panama,Volcán Barú,3474,https://www.peakbagger.com/peak.aspx?pid=8189,"Volcán Barú, Panama","8.808814, -82.542664",https://www.peakbagger.com/image/amazontiny.gif
56,South Africa,Mafadi,3451,https://www.peakbagger.com/peak.aspx?pid=17493,"Mafadi, Lesotho/South Africa","-29.202857, 29.358324",https://www.peakbagger.com/image/Suc.gif
57,Chad,Emi Koussi,3445,https://www.peakbagger.com/peak.aspx?pid=11071,"Emi Koussi, Chad","19.792536, 18.546365",
58,South Sudan,Kinyeti,3187,https://www.peakbagger.com/peak.aspx?pid=11179,"Kinyeti, South Sudan","3.94629, 32.910444",
59,Vietnam,Fan Si Pan,3147,https://www.peakbagger.com/peak.aspx?pid=10961,"Fan Si Pan, Vietnam","22.30336, 103.775239",https://www.peakbagger.com/image/Suc.gif
60,Turkmenistan,Ayrybaba,3139,https://www.peakbagger.com/peak.aspx?pid=10488,"Ayrybaba, Uzbekistan/Turkmenistan","37.815118, 66.56933",
61,Dominican Republic,Pico Duarte,3098,https://www.peakbagger.com/peak.aspx?pid=8224,"Pico Duarte, Dominican Republic","19.023073, -70.99769",https://www.peakbagger.com/image/Suc.gif
62,Lebanon,Qurnat as Sawda,3088,https://www.peakbagger.com/peak.aspx?pid=10450,"Qurnat as Sawda, Lebanon","34.300946, 36.115817",https://www.peakbagger.com/image/Suc.gif
63,Reunion,Piton des Neiges,3071,https://www.peakbagger.com/peak.aspx?pid=11332,"Piton des Neiges, Reunion","-21.099313, 55.479956",https://www.peakbagger.com/image/Suc.gif
64,Oman,Jebel Shams,3018,https://www.peakbagger.com/peak.aspx?pid=10480,"Jebel Shams, Oman","23.238549, 57.262955",https://www.peakbagger.com/image/Suc.gif
64,Eritrea,Soira,3018,https://www.peakbagger.com/peak.aspx?pid=11114,"Soira, Eritrea","14.761767, 39.529653",
66,Sudan,Jabal Marrah,3012,https://www.peakbagger.com/peak.aspx?pid=11076,"Jabal Marrah, Sudan","12.938699, 24.235421",
67,Equatorial Guinea,Pico Basilé,3008,https://www.peakbagger.com/peak.aspx?pid=11100,"Pico Basilé, Equatorial Guinea","3.588271, 8.761632",https://www.peakbagger.com/image/Suc.gif
68,Saudi Arabia,Jabal Ferwa,3002,https://www.peakbagger.com/peak.aspx?pid=86060,"Jabal Ferwa, Saudi Arabia","17.928547, 43.265528",https://www.peakbagger.com/image/Suc.gif
68,Malawi,Sapitwa Peak,3002,https://www.peakbagger.com/peak.aspx?pid=11222,"Sapitwa Peak, Malawi","-15.94946, 35.59297",https://www.peakbagger.com/image/Suc.gif
70,Brazil,Pico da Neblina,2995,https://www.peakbagger.com/peak.aspx?pid=8700,"Pico da Neblina, Brazil","0.800016, -66.007529",
71,East Timor,Foho Ramelau,2963,https://www.peakbagger.com/peak.aspx?pid=11013,"Foho Ramelau, East Timor","-8.906625, 125.493378",https://www.peakbagger.com/image/Suc.gif
72,Germany,Zugspitze,2962,https://www.peakbagger.com/peak.aspx?pid=10012,"Zugspitze, Germany/Austria","47.42123, 10.98632",https://www.peakbagger.com/image/amazontiny.gif
73,Philippines,Mount Apo,2954,https://www.peakbagger.com/peak.aspx?pid=11028,"Mount Apo, Philippines","6.98734, 125.27103",https://www.peakbagger.com/image/Suc.gif
74,Andorra,Pic de Coma Pedrosa,2943,https://www.peakbagger.com/peak.aspx?pid=9815,"Pic de Coma Pedrosa, Andorra","42.591796, 1.443665",https://www.peakbagger.com/image/amazontiny.gif
75,South Georgia,Mount Paget,2934,https://www.peakbagger.com/peak.aspx?pid=8812,"Mount Paget, South Georgia","-54.449767, -36.524896",
